Date,CVX,XOM,CL,PG,PEP
2010-01-01,48.390926,45.100105,28.58551,44.368778000000006,43.41922
2010-02-01,48.5117,45.499088,29.957728999999997,45.943375,45.494766
2010-03-01,51.367226,47.190937,30.795709999999996,45.936111,48.182087
2010-04-01,55.167446,47.747516999999995,30.376711,45.13023,47.834911
2010-05-01,50.039509,42.597256,28.563390999999996,44.694584000000006,46.125996
2010-06-01,46.397564,40.481891999999995,28.808456,43.882492,44.703117
2010-07-01,52.106667,42.333248,28.888926,44.745789,47.974449
2010-08-01,50.65033,41.928932,27.358109999999996,43.997192,47.434914
2010-09-01,55.934143000000006,44.143589,28.477034000000003,44.218407,49.105278000000006
2010-10-01,57.00383000000001,47.501328,28.573364,46.872837,48.985729
2010-11-01,55.878921999999996,49.69458,28.757133000000003,45.375515,48.48312
2010-12-01,63.512241,52.566803,30.192172999999997,47.797709999999995,49.008244
2011-01-01,66.073601,58.001774,28.839764000000002,46.906113,48.604057
2011-02-01,72.212517,61.488491,29.898405,47.193806,47.931404
2011-03-01,75.378349,60.800743000000004,30.751337,46.108456,48.679629999999996
2011-04-01,76.745834,63.583172,32.118320000000004,48.578564,52.463908999999994
2011-05-01,73.56910699999999,60.323783999999996,33.811802,50.566345,54.162197
2011-06-01,72.675156,59.146904000000006,33.765446000000004,47.97765,53.636703000000004
2011-07-01,73.50904799999999,57.99131,32.594986,46.407833000000004,49.126072
2011-08-01,69.848427,53.797665,35.213295,48.454384000000005,49.425251
2011-09-01,65.95587900000001,53.136005000000004,34.708412,48.073929,47.866524
2011-10-01,74.83168,57.130539,35.369854,48.690277,48.678471
2011-11-01,73.24314100000001,58.8498,36.271361999999996,49.532154,49.490433
2011-12-01,76.39254,62.379780000000004,36.624157000000004,51.173775,51.726105
2012-01-01,74.03756700000001,61.629116,35.962151,48.35849,51.195992
2012-02-01,78.345428,63.660336,37.419785,52.286102,49.067679999999996
2012-03-01,77.564064,64.178986,39.267075,51.969078,52.150265000000005
2012-04-01,77.09380300000001,63.890395999999996,39.732925,49.208645000000004,51.87516
2012-05-01,71.125076,58.185116,39.980862,48.572205,53.329243000000005
2012-06-01,77.013863,63.756840000000004,42.339851,47.761223,55.972218000000005
2012-07-01,79.99221800000001,64.710533,43.665764,50.326694,57.611945999999996
2012-08-01,81.87559499999999,65.045822,43.752369,52.847576000000004,57.37429
2012-09-01,85.7687,68.580696,44.126881,54.554367000000006,56.059341
2012-10-01,81.118256,68.37075,43.196762,54.459988,55.257560999999995
2012-11-01,77.770218,66.09848000000001,45.159889,55.375057,56.031654
2012-12-01,80.259109,65.312469,43.511672999999995,53.836651,54.611115000000005
2013-01-01,85.4618,67.893272,44.689564000000004,59.601742,58.588893999999996
2013-02-01,86.946129,67.576302,48.176094,60.900383,60.937279000000004
2013-03-01,88.87215400000001,68.433327,49.691722999999996,61.603874,64.078468
2013-04-01,91.25810200000001,67.582764,50.272701,61.372046999999995,66.800049
2013-05-01,91.811623,68.70671800000001,49.267448,61.814522,65.423058
2013-06-01,89.22692099999999,69.090248,48.798965,61.999725,66.249268
2013-07-01,94.919533,71.69023100000001,50.996578,64.665283,68.14089200000001
2013-08-01,90.802788,66.650887,49.494007,63.193954000000005,65.033203
2013-09-01,92.366318,66.24916800000001,50.804829,61.327907999999994,64.845589
2013-10-01,91.19561,69.00572199999999,55.456947,65.514351,69.078766
2013-11-01,93.08094,71.977837,56.686165,68.863403,69.382698
2013-12-01,95.756035,78.452309,56.16935,66.565781,68.13401800000001
2014-01-01,85.57558399999999,71.444305,52.741135,62.649193000000004,66.46508
2014-02-01,88.412018,74.63044000000001,54.405041000000004,64.803352,66.225266
2014-03-01,91.966133,76.259834,56.171496999999995,66.401611,69.062157
2014-04-01,97.078377,79.952606,58.27565,68.008095,71.541527
2014-05-01,94.966965,78.484863,59.547245,67.089584,73.573898
2014-06-01,101.830505,79.135628,59.355717000000006,65.262642,74.415176
2014-07-01,100.808685,77.76795200000001,55.194378,64.208015,73.931236
2014-08-01,100.972504,78.176704,56.644978,69.567131,77.615196
2014-09-01,93.862038,74.439339,57.073776,70.094475,78.118713
2014-10-01,94.35762,76.54469300000001,58.52644,73.049255,81.279045
2014-11-01,85.64164,71.661209,61.240223,76.274521,84.600502
2014-12-01,89.063774,73.701263,60.888226,76.831215,79.91835
2015-01-01,81.402283,69.691322,59.41859399999999,71.09563399999999,79.77963299999999
2015-02-01,84.697128,70.584198,62.6497,72.314552,84.203331
2015-03-01,84.166306,68.27215600000001,61.340435,69.604774,81.34494000000001
2015-04-01,89.040848,70.17574300000001,59.518097,67.540581,81.46183
2015-05-01,82.578857,68.432793,59.414425,67.12471,82.58374
2015-06-01,78.114204,67.379097,58.186813,66.996277,79.93744699999999
2015-07-01,71.64451600000001,64.14785,60.50859499999999,65.677582,83.12361899999999
2015-08-01,65.57965899999999,60.93275500000001,56.188857999999996,61.009575,80.751114
2015-09-01,64.675926,60.775364,56.770340000000004,62.105988,81.355034
2015-10-01,74.51505999999999,67.63353000000001,59.355675,65.939049,88.84581
2015-11-01,74.87583199999999,66.750732,59.091156000000005,65.190147,87.080887
2015-12-01,74.661575,64.273537,59.936863,69.17092099999999,86.872238
2016-01-01,71.765068,64.191086,60.75558100000001,71.156937,86.937965
2016-02-01,69.250351,66.08755500000001,59.416720999999995,70.54692800000001,85.642204
2016-03-01,80.180717,69.549576,63.951717,72.3218,89.72206899999999
2016-04-01,85.879097,73.551651,64.19612099999999,70.397552,90.786407
2016-05-01,84.887352,74.067513,64.083237,71.788765,89.208069
2016-06-01,89.037712,78.650192,66.622551,75.004372,93.414063
2016-07-01,87.041733,74.631264,67.74202,75.819366,96.761909
2016-08-01,85.427963,73.112617,68.015877,77.948631,94.83414499999999
2016-09-01,88.336525,73.854568,67.83287800000001,80.127022,97.312119
2016-10-01,89.907211,70.50367,65.289383,77.493324,95.907524
2016-11-01,95.752243,73.871475,60.007263,74.186615,89.555428
2016-12-01,102.03357700000001,77.05246700000001,60.200451,75.64407299999999,94.300735
2017-01-01,96.528801,71.614571,59.409313,78.810913,93.534645
2017-02-01,97.525711,69.42063900000001,67.524826,82.581604,99.483078
2017-03-01,93.969482,70.649849,67.719139,81.47532700000001,100.816986
2017-04-01,93.38310200000001,70.339722,66.65509,79.19019300000001,102.79806500000001
2017-05-01,90.564995,69.34903,71.03421800000001,80.490646,106.055885
2017-06-01,92.237732,70.203911,68.959755,79.63176,105.52338400000001
2017-07-01,96.534447,69.603882,67.16436800000001,82.985153,106.546745
2017-08-01,95.1464,66.377617,67.014549,84.97112299999999,105.74268300000001
2017-09-01,104.925018,71.981941,68.146408,83.783165,102.52624499999999
2017-10-01,103.487312,73.18486,65.901382,79.51018499999999,101.422127
2017-11-01,106.255554,73.13217900000001,68.144936,83.492111,107.20954099999999
2017-12-01,112.83852399999999,74.119148,70.96666,85.245621,111.103325
2018-01-01,112.98275,77.36254100000001,69.828568,80.105644,111.45540600000001
2018-02-01,100.877747,67.11842299999999,65.208275,73.405357,101.662521
2018-03-01,103.811829,66.793144,67.770462,74.11586,101.12516
2018-04-01,113.88896899999999,69.60417199999999,61.672256000000004,67.627922,94.209908
2018-05-01,113.151627,72.728516,59.998577000000004,69.03701,93.56591
2018-06-01,116.094177,74.813118,61.634296,73.65080999999999,102.54570799999999
2018-07-01,115.94725,73.709869,63.726498,76.31150799999999,108.31961799999999
2018-08-01,108.775726,72.498085,63.562732999999994,78.975082,105.50331100000001
2018-09-01,113.35994699999999,77.676987,64.07958199999999,79.24168399999999,105.305504
2018-10-01,103.505386,72.79819499999999,56.99684499999999,84.430511,106.72737099999999
2018-11-01,110.26358799999998,72.63374300000001,61.201111,90.776466,115.80651100000001
2018-12-01,101.839668,62.932120999999995,57.347137,88.288788,104.92293500000001
2019-01-01,107.32527900000001,67.629639,62.318764,92.659035,107.852425
2019-02-01,111.940331,72.936279,63.893799,95.405746,110.695419
2019-03-01,116.469475,75.39769,66.483688,100.73026999999999,118.26123
2019-04-01,113.51943200000001,74.912453,70.606186,103.082748,123.568748
2019-05-01,107.64774299999999,66.038292,67.95452900000001,100.329865,123.5205
2019-06-01,118.818474,72.326134,69.95548199999999,106.900871,126.54097
2019-07-01,117.548546,70.183624,70.023811,115.08052099999999,124.240173
2019-08-01,112.40203899999999,64.633873,72.79633299999999,117.974602,132.911026
2019-09-01,114.406403,67.472893,72.168015,122.04675300000001,133.270691
2019-10-01,112.03338600000001,64.567955,67.347649,122.17431599999999,134.260178
2019-11-01,112.988373,65.103073,67.003723,120.535347,132.948608
2019-12-01,117.394318,67.483917,68.011444,123.339874,133.770782
